ID;STATUS;MODEL;GRADE;VARIANT 1;VARIANT 2;VARIANT 3;VARIANT 4;DESCRIPTION;SEAT_CODE;SIDE;CODE;LINE_NO;SUFFIX_MASTER;PART_NO;JOB_NO;AIRBAG;STOCK_MIN;STOCK_MAX;takt_time_small;takt_time_big;shop
11;Active;D26A;RHD TMC LOW;S/belt Passanger No kable;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UL;2;EC;71200-BY450;;NO;1;3;60;60;2
12;Active;D26A;RHD TMC LOW;S/belt Passanger No kable;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UL;2;SL, SR, SS;71200-BY450;;NO;1;3;60;60;2
13;Active;D26A;RHD DMC MID LFT POK A/B;S/belt Passanger No kable;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UD;2;96;71200-BYM20;;NO;1;3;60;60;2
14;Active;D26A;RHD DMC MID STD ;S/belt Passanger No kable;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;FU-X;2;SQ, ST;71200-BY430;;NO;1;3;60;60;2
15;Active;D26A;RHD TMC MID LFT POK;S/belt Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UG;2;SV, SX;71200-BY440;;NO;1;3;60;60;2
16;Active;D26A;RHD TMC MID LFT POK A/B;S/belt Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UB;2;SW;71200-BY580;;NO;1;3;60;60;2
17;Active;D26A;RHD DMC MID LFT POK;Passanger No kable;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;LH;F-UX;2;SY, SZ, TA;71200-BY430;;NO;1;3;60;60;2
18;Active;D74A;RHD LOW;DRIVER STD;Frame STD;No Pocket;INTEGRATED;SEAT ASSY, FR;FR;RH;-;1;T9;71100-BY820;;NO;1;3;60;60;2
19;Active;D74A;RHD MID-A;DRIVER STD;Frame STD;No Pocket;INTEGRATED;SEAT ASSY, FR;FR;RH;-;1;7F, 7G, T6, T8;71100-BY830;;NO;1;3;60;60;2
20;Active;D74A;RHD MID-B STD;DRIVER STD;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;RH;-;1;7A, 7C, 7E;71100-BY850;;NO;1;3;60;60;2
21;Active;D74A;RHD GR;DRIVER STD;Frame STD;Pocket;Separated (Bludru);SEAT ASSY, FR;FR;RH;-;1;7B, 7D;71100-BYE20;;NO;1;3;60;60;2
22;Active;D74A;RHD MID-B LIFT;Lifter Panjang;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;RH;-;1;68, 69, T5, ZJ, ZK;71100-BY860;;NO;1;3;60;60;2
23;Active;D74A;LHD MID-A;Passanger;Frame STD;No Pocket;H/R INTEGRATED;SEAT ASSY, FR;FR;RH;-;1;WA, WB, WC, XK, ZC, ZE, ZF, ZG, ZH, 9F;71100-BY880;;NO;1;3;60;60;2
24;Active;D74A;LHD MID-B STD;Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;RH;-;1;62, 65, 66, 5H, 5J, U2, VV, VX, VY, VZ, YD, YN, ZA, ZB, 9G;71100-BY890;;NO;1;3;60;60;2
25;Active;D74A;LHD MID-B STD;Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;RH;-;1;64, 67;71100-BY890;;NO;1;3;60;60;2
26;Active;D74A;LHD MID-B LIFT A/B;Passanger;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;RH;-;1;VW;71100-BYD30;;NO;1;3;60;60;2
27;Active;D26A;RHD TMC LOW;DRIVER STD;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UK;1;RU, RV;71100-BY210-C4;;NO;1;3;60;60;2
28;Active;D26A;RHD TMC LOW;DRIVER STD;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UL;1;EC;71100-BY210-C4;;NO;1;3;60;60;2
29;Active;D26A;RHD TMC LOW;DRIVER STD;Frame STD;No Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UL;1;SL, SR, SS;71100-BY210-C4;;NO;1;3;60;60;2
30;Active;D26A;RHD DMC STD MID;DRIVER STD;Frame STD;Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UX;1;SQ, ST;71100-BY200-C4;;NO;1;3;60;60;2
31;Active;D26A;RHD TMC STD MID;Lifter Rubber;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UG;1;SV, SX;71100-BY360-C4;;NO;1;3;60;60;2
32;Active;D26A;RHD DMC MID LFT POK A/B;Lifter Rubber;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UD;1;96;71100-BYG70;;NO;1;3;60;60;2
33;Active;D26A;RHD TMC MID LFT POK A/B;Lifter Rubber;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UB;1;SW;71100-BY330-C4;;NO;1;3;60;60;2
34;Active;D26A;RHD DMC MID LFT POK;Lifter Rubber;Lifter Adjuster;Pocket;Separated;SEAT ASSY, FR;FR;RH;F-UX;1;SY, SZ, TA;71100-BY180-C4;;NO;1;3;60;60;2
