id;child_part_no;child_part_name;problem
1129;B235-87401;SPRING BAR S/TRACK RR.1 RH;others
1130;B236-87401;SPRING BAR S/TRACK RR.1 LH;part tidak terpasang
1131;B236-87401;SPRING BAR S/TRACK RR.1 LH;karat
1132;B236-87401;SPRING BAR S/TRACK RR.1 LH;kotor
1133;B236-87401;SPRING BAR S/TRACK RR.1 LH;salah spec
1134;B236-87401;SPRING BAR S/TRACK RR.1 LH;others
1135;S830-00022;BUSHING;part tidak terpasang
1136;S830-00022;BUSHING;bushing pecah
1137;S830-00022;BUSHING;short mold
1138;S830-00022;BUSHING;unfix
1139;S830-00022;BUSHING;others
1140;47779-BZ010;BUSHING LEG;part tidak terpasang
1141;47779-BZ010;BUSHING LEG;bushing pecah
1142;47779-BZ010;BUSHING LEG;short mold
1143;47779-BZ010;BUSHING LEG;unfix
1144;47779-BZ010;BUSHING LEG;others
1145;S380-00023;BUSHING HINGE LOCK;part tidak terpasang
1146;S380-00023;BUSHING HINGE LOCK;bushing pecah
1147;S380-00023;BUSHING HINGE LOCK;short mold
1148;S380-00023;BUSHING HINGE LOCK;unfix
1149;S380-00023;BUSHING HINGE LOCK;others
1150;S183-00007;WASHER LOCK KECIL;part tidak terpasang
1151;S183-00007;WASHER LOCK KECIL;karat
1152;S183-00007;WASHER LOCK KECIL;kotor
1153;S183-00007;WASHER LOCK KECIL;salah spec
1154;S183-00007;WASHER LOCK KECIL;others
1155;90041-83061;WASHER LOCK BESAR;part tidak terpasang
1156;90041-83061;WASHER LOCK BESAR;karat
1157;90041-83061;WASHER LOCK BESAR;kotor
1158;90041-83061;WASHER LOCK BESAR;salah spec
1159;90041-83061;WASHER LOCK BESAR;others
1160;71694-BZ030;COVER, RR SEAT CUSHION HINGE, LWR LH;kotor
1161;71844-BZ010;COVER, RR SEAT RECLINING, NO.2 LH;kotor
1162;71876-BZ090;COVER, RECLINING ADJUSTER INSIDE, LH;kotor
1163;71876-BZ080;COVER, RECLINING ADJUSTER INSIDE, LH;kotor
1164;71879-BZ090;COVER, RR SEAT RECLINING, INNER LH;kotor
1165;71694-BZ020;COVER, RR SEAT CUSHION HINGE, LWR LH;kotor
1166;73580-BZ040;BELT ASSY, RR NO.2 SEAT, INNER;kotor
1167;73580-BZ090;BELT ASSY, RR NO.2 SEAT, INNER;kotor
1168;73580-BZ030;BELT ASSY, RR NO.2 SEAT, INNER ;kotor
1169;71970-BZ230;HEADREST ASSY, NO.2 SEAT;kotor
1170;71970-BZ240;HEADREST ASSY, NO.2 SEAT;kotor
1171;71940 -BZF00 ;HEADREST ASSY, NO.2 SEAT BENCH ;kotor
1172;72994-BZ020;COVER, RR SEAT BACK LH;kotor
1173;72921-BZ010;STRAP, 3RD SEAT;kotor
1174;71930-OK050;Support Assy  FR Seat Headrest;kotor
1175;71931-OK040;Support FR seat Headrest RH;kotor
1176;71693-BZ040;COVER, RR SEAT CUSHION HINGE, LWR RH;kotor
1177;71843-BZ010;COVER, RR SEAT RECLINING, NO.2 RH;kotor
1178;71875-BZ100;COVER, RECLINING ADJUSTER INSIDE, RH;kotor
1179;71875-BZ110;COVER, RECLINING ADJUSTER INSIDE, RH;kotor
1180;71878-BZ090;COVER, RR SEAT RECLINING, INNER RH;kotor
1181;71693-BZ050;COVER, RR SEAT CUSHION HINGE, LWR RH;kotor
1182;72991-BZ250;COVER, FR SEAT CUSHION;kotor
1183;72694-BZ240;COVER, RR SEAT CUSHION LOCK;kotor
